rowNumber,sku,status,imageUrl,sourceImageUrl,reason,productUrl
"10190","SRV30002611","updated","/products/parts/srv30002611.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/35388/56905/SRV30006677-1__36831.1664231804.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/vermont-castings-encore-1450-nc-single-leg-bordeaux-srv30002611-p/srv30002611.htm"
"10191","SRV30007519","fetch-error","","","HTTP 404","https://www.stove-parts-unlimited.com/vermont-castings-dauntless-flexburn-cable-assembly-srv30007519-p/srv30007519.htm"
"10192","SRV4059-312","updated","/products/parts/srv4059-312.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/15781/50397/SRV4059-028__32375.1618002826.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/hht-firescreen-rod-srv4059-312-p/srv4059-312.htm"
"10193","SRV7021-119","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/quadra-fire-castile-outer-skin-left-srv7021-119-p/srv7021-119.htm"
"10194","UV42SH4","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/outdoor-lifestyles-al-fresco-hood-stainless-steel-uv42sh4-p/uv42sh4.htm"
"10195","20306020K","updated","/products/parts/20306020k.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/38616/65203/69D2105K-01__49594.1740678259.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/monessen-glass-support-20306020k-p/20306020k.htm"
"10196","SRV4079-307","updated","/products/parts/srv4079-307.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/14484/21811/1__01130.1521129325.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/hht-90-degree-connector-srv4079-307-p/srv4079-307.htm"
"10197","SRV2344-172","updated","/products/parts/srv2344-172.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/23581/67476/SRV2344-125-1__66007.1755094039.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/quadra-fire-heat-n-glo-flue-restrictor-srv2344-172-p/srv2344-172.htm"
"10198","4049-032","updated","/products/parts/4049-032.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/18791/67671/4049-031-1__52443.1756386952.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/heatilator-eclipse-series-side-log-assembly-4049-032-p/4049-032.htm"
"10199","1-10-677055-F14","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/harman-xxv-left-side-majolica-brown-1-10-677055-f14-p/1-10-677055-f14.htm"
"10200","SRV2534-711","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heat-n-go-provident-rear-left-log-srv2534-711-p/srv2534-711.htm"
"10201","7000-622/10","updated","/products/parts/7000-622-10.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/34218/63571/1200811-10-02__26980.1718384838.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/quadra-fire-vermont-castings-1-4-20-x-1-screws-10-pack-7000-622-10-p/7000-622-10.htm"
